ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep
25,25,56735,46819,1931,2306,5521,329,53,63268,49812,2278,2837,8159,314,51,63738,48518,3764,3368,7094,778,1307,63979,49960,2361,2893,8197,386,48,63606,49679,2436,2763,7751,449,81,49174,41277,1496,1563,4703,250,46,49726,43934,1388,1923,2268,231,0,55637,43080,3128,2492,6148,597,1283,55637,43080,3128,2057,4435,111,23,130,2673,50045,44110,1358,1911,2413,234,0,51297,44415,1584,1776,3216,229,20,28993,17982,10326,27924,17379,10545,31879,18301,10015,30770,15272,14024,26311,17445,8175,24049,19267,0,29227,17987,9885,30268,20101,9246,29871,19264,9788
26,26,62859,52927,7488,1223,944,465,84,62331,49595,9393,1375,1765,362,20,63918,49055,9994,1518,1996,1284,71,62547,49065,9827,1429,1849,396,24,64201,48850,10649,1673,2397,773,6,46562,41039,4008,665,640,268,54,42520,38333,2890,627,364,268,19,47705,38627,5949,885,1252,874,38,47705,38627,5949,660,1095,141,27,119,1087,43059,38203,3507,651,416,273,19,44324,38249,4329,653,706,330,0,30721,15788,14130,30847,16159,14688,30556,12460,15659,30167,10614,18213,25848,12154,13070,22794,17413,0,29166,12563,15680,32181,14075,17327,31840,14057,16647
27,27,64993,59554,2540,788,617,1848,70,62933,56401,3134,1045,684,1995,32,63643,56099,3268,1040,748,2445,136,63154,56526,3122,1106,888,1798,55,63287,56055,3524,1045,881,2207,19,49936,46685,1416,441,423,1096,49,48225,44945,1306,482,331,1139,4,49455,44582,2021,592,554,1551,106,49455,44582,2021,447,359,889,17,76,1064,48497,45318,1309,354,384,1073,20,48500,45170,1433,336,353,1192,4,34198,17157,16092,33524,16509,17015,33314,12033,19167,33095,10055,21731,28165,11660,15928,24323,18651,0,31559,11812,19119,34785,12934,21245,34391,12863,20499
28,28,66307,60809,4151,475,634,368,34,63874,57467,4703,669,815,227,66,64060,54704,6710,752,781,1023,94,63328,56683,4805,706,658,282,51,63821,56054,5331,714,716,451,216,50635,47544,2371,179,377,229,28,47811,45511,1460,332,364,186,30,48987,43449,3840,383,472,704,72,48987,43449,3840,217,346,88,11,81,955,47452,44988,1531,383,392,161,40,47387,44697,1492,391,341,308,120,34443,16095,17200,33233,14950,18283,32953,10226,20695,32678,8244,23127,27279,9711,16989,23286,17521,0,30990,10019,20368,34342,11092,22657,33972,11400,21449
29,29,64819,62496,934,664,574,202,39,64297,60822,1363,1123,702,358,88,64103,59576,1654,1127,784,754,66,64131,60291,1491,1058,801,368,166,63918,59454,1640,1223,859,320,102,49646,48331,480,326,392,124,22,49278,47423,619,589,477,151,48,49195,46374,1006,604,541,509,33,49195,46374,1006,464,434,39,4,44,830,49222,47206,743,593,460,167,58,49045,46828,857,589,475,237,12,33478,18132,14458,33764,17515,16249,34040,12410,19388,33759,10359,22204,27980,11465,15913,24272,18178,0,32087,12080,19361,35726,13232,21877,35450,13557,20860
30,30,65591,61781,1989,1005,604,336,45,63893,58951,2511,1450,712,557,137,63993,57503,2718,1728,901,816,224,63774,58606,2570,1641,774,503,106,63961,58369,2801,1698,786,429,126,50910,48666,1190,467,389,227,28,49897,47007,1412,709,449,290,29,50494,46294,1728,935,631,604,138,50494,46294,1728,636,494,81,90,99,1072,49748,46814,1400,764,466,262,29,49765,46732,1567,813,411,273,8,35951,21040,14022,34513,19324,15189,34145,13828,18122,33714,11416,20807,28293,12610,15051,24849,18993,0,32269,13639,17848,35622,15145,19856,35270,16269,17943
31,31,65813,48955,3776,11787,947,561,260,64790,45404,4529,12518,1867,783,363,64306,41783,4699,13940,2315,1247,763,64833,44565,4759,13220,1925,983,356,64644,43440,4742,13215,2430,1184,649,50113,39778,2160,7291,612,366,141,46730,37026,1549,7103,630,306,64,49412,34960,2857,8932,1525,916,426,49412,34960,2857,8155,1346,118,393,134,1449,46427,36334,1793,7248,579,460,71,46704,35691,1968,7667,871,440,57,30349,20205,9676,30529,20835,9694,27705,15777,10059,27299,13798,12396,22026,13483,8054,20022,16764,0,25795,15050,9974,28338,16974,10803,28076,16774,10434
32,32,66461,63678,1630,489,457,221,87,64221,60751,1922,912,426,196,49,63793,59161,2441,743,522,758,74,63738,60177,1989,797,509,353,26,63800,59842,2094,813,538,560,16,51410,49738,915,281,315,148,59,49596,48227,649,329,232,177,4,49859,46965,1411,409,372,519,59,49859,46965,1411,282,242,73,28,78,780,49227,47779,684,255,260,248,4,49120,47597,593,345,289,265,4,34137,19824,13413,33075,18202,14873,33778,13073,18584,33364,11161,20870,28625,11827,15739,25055,19419,0,32123,12609,18759,35945,13856,21534,35615,14181,20377
33,33,60395,58429,669,732,386,202,21,62707,59788,1210,940,587,400,46,63743,59742,1224,1224,574,628,87,62797,59176,1501,1196,590,443,41,64049,60040,1559,1367,603,482,66,45201,43934,420,497,242,117,14,47413,45767,612,569,288,184,8,48633,46067,768,724,391,442,56,48633,46067,768,599,303,75,17,88,716,47305,45370,774,652,297,208,14,48151,46057,800,750,300,239,8,31286,17098,13494,32420,16974,15446,33223,12270,18950,32592,10107,21303,28765,11687,16406,24351,18685,0,32506,12275,19475,36902,13812,22523,36399,14092,21264
34,34,65340,63224,875,630,344,276,58,63746,60879,1200,1115,304,334,73,63469,59861,1246,843,414,853,63,63850,60554,1305,1030,454,401,46,63804,60009,1476,951,427,482,84,49036,47832,501,312,208,169,30,48171,46700,608,522,120,200,0,48283,46039,759,430,287,548,35,48283,46039,759,314,150,61,7,54,899,48033,46661,608,355,212,184,7,48301,46769,708,228,288,354,16,32799,18190,13712,33067,18082,14985,32506,11906,18385,32292,9834,21077,26932,11123,15039,23396,18401,0,30759,11545,18507,34516,12580,21303,34251,12866,20342
35,35,66494,62001,1578,1984,488,471,140,65329,59885,1767,2665,706,428,234,63807,57064,1916,2620,574,1143,248,64492,58823,1811,2825,840,403,134,63000,56884,2044,2669,928,518,186,50627,48098,858,1059,305,317,80,49619,46814,880,1372,202,362,14,49163,45038,1091,1398,369,811,176,49163,45038,1091,1096,241,102,144,93,1358,49093,46192,841,1378,294,365,29,48070,45164,976,1262,319,321,39,33686,19906,13117,33806,20085,13721,32269,13499,16438,31829,11883,18525,26004,12385,13111,22237,16404,0,30631,13261,16425,34686,14688,19292,34243,14853,18135
36,36,62411,56685,1424,2860,905,425,309,63064,55572,1640,3629,1310,447,503,64299,54454,2277,4807,1018,958,841,63159,55792,1359,3640,1363,421,554,63790,55489,1718,3934,1450,345,676,48853,45467,888,1514,610,278,176,48719,44966,815,1939,536,326,92,51012,44722,1526,2795,752,671,488,51012,44722,1526,2388,601,91,447,144,1093,49198,45457,769,1981,543,284,102,49756,45876,778,2171,566,272,70,31458,19701,11253,32405,19889,12516,31405,15996,13095,30583,13737,15580,26458,14529,11155,23138,18250,0,30054,15644,13292,33109,17673,14685,32548,17369,14066
37,37,55668,50329,1284,2061,1715,380,66,60020,53156,1695,1898,2465,531,325,63393,53220,2158,3732,3018,994,112,60520,53476,1782,2349,2245,604,309,62672,54517,2036,2824,2198,768,395,41270,38211,720,1026,1114,231,37,44244,41013,882,1234,836,234,0,47879,41556,1312,2104,1958,693,73,47879,41556,1312,1636,1735,60,31,121,1428,44794,41383,884,1313,817,281,0,46457,42369,943,1658,1012,309,0,30672,17052,13115,31350,17165,14185,32556,15904,13810,32168,12432,18338,28935,15610,12551,25925,19845,0,32508,16535,14692,36419,20187,15305,36198,19482,15609
38,38,61921,57783,1093,1519,1305,319,39,64283,58720,1263,1856,1894,421,174,63383,56094,1706,2487,1902,781,205,63258,57639,1366,1330,2221,471,229,63107,57458,1475,1571,2098,695,61,49868,47229,682,849,931,218,28,50063,47184,726,956,869,160,70,50421,45402,1093,1646,1342,582,132,50421,45402,1093,1257,1091,69,99,111,1299,49213,46470,713,756,863,199,60,49373,46586,839,794,926,200,20,32720,17958,14156,33643,17894,15749,34749,15525,16528,34306,12677,20382,29576,14984,13933,25922,20241,0,33182,15500,16665,35993,17678,17579,35710,17202,17601
